Coordinates,Date,State,County,Urban Area,Census Block,Census Tract
"(-71.58535647890501, 43.44043058377622)",2023-08-18,New Hampshire,Merrimack,,3002,440
"(-71.4828371430483, 42.73128978116382)",2023-08-18,New Hampshire,Hillsborough,,3035,113
"(-71.49613103180604, 42.95677195564689)",2023-08-18,New Hampshire,Hillsborough,,2004,29.01
"(-70.95599241630505, 42.46516029292327)",2023-08-18,Massachusetts,Essex,,2005,2061
"(-71.60345051052016, 43.02393225691116)",2023-08-18,New Hampshire,Hillsborough,,2007,27.01
"(-71.4587551884586, 42.99921420282807)",2023-08-18,New Hampshire,Hillsborough,,2000,6
"(-70.45873822089226, 41.62949978486336)",2023-08-18,Massachusetts,Barnstable,,1006,151
"(-71.6037224333016, 43.15378614405718)",2023-08-18,New Hampshire,Merrimack,,1010,310.02
"(-71.31727702531987, 42.09370504993007)",2023-08-18,Massachusetts,Norfolk,,2015,4091.01
"(-72.56541479172034, 42.05867640910156)",2023-08-18,Massachusetts,Hampden,,1040,8133.03
"(-73.20261222061553, 40.745291488786926)",2023-08-18,New York,Suffolk,,2023,1462.06
"(-71.66031548619071, 42.42476322569973)",2023-08-18,Massachusetts,Worcester,,1021,7161.01
"(-70.94535848060302, 41.97250807951549)",2023-08-18,Massachusetts,Plymouth,,2008,5252.04
"(-70.95643150826872, 42.51021254037767)",2023-08-18,Massachusetts,Essex,,2000,2105
"(-71.09985765754168, 43.17295601292557)",2023-08-18,New Hampshire,Rockingham,,3013,580
"(-72.25989832428183, 43.272546783347)",2023-08-18,New Hampshire,Sullivan,,1070,9756
"(-73.7646041507917, 42.65360517559979)",2023-08-18,New York,Albany,,1005,14
"(-73.2164157149609, 44.391586967933)",2023-08-18,Vermont,Chittenden,,2035,34.01
"(-73.86148074082412, 40.89209030041172)",2023-08-18,New York,Bronx,,3002,420
"(-73.62632385380122, 40.62378376553957)",2023-08-18,New York,Nassau,,2009,4134
"(-71.64670434615178, 42.31692741433814)",2023-08-18,Massachusetts,Worcester,,3007,7402
"(-70.31591353736258, 43.69216389669759)",2023-08-18,Maine,Cumberland,,2000,21.02
"(-70.68147974914726, 41.961693515057895)",2023-08-18,Massachusetts,Plymouth,,4007,5303
"(-71.22823058013829, 42.59950986653376)",2023-08-18,Massachusetts,Middlesex,,5000,3155
"(-71.06062148050661, 41.9714444389961)",2023-08-18,Massachusetts,Bristol,,3006,6121
"(-71.19073195455792, 44.44705172868626)",2023-08-18,New Hampshire,Coos,,3002,9509
"(-73.78133764790243, 41.05249453610906)",2023-08-18,New York,Westchester,,4013,109.02
"(-71.67795051421415, 42.72311948592933)",2023-08-18,New Hampshire,Hillsborough,,1011,180.01
"(-71.17051450659821, 42.748810787686985)",2023-08-18,Massachusetts,Essex,,2012,2526.03
"(-72.61816558855267, 42.01897217805626)",2023-08-18,Connecticut,Capitol,,2000,4771.03
"(-72.01245662080073, 44.43750387235462)",2023-08-18,Vermont,Caledonia,,2011,9575
"(-72.51686497904318, 42.90420676541177)",2023-08-18,New Hampshire,Cheshire,,2009,9715
"(-72.1061043590481, 42.13127375044349)",2023-08-18,Massachusetts,Worcester,,2008,7581.03
"(-157.73905238133116, 21.289104350946417)",2023-08-18,Hawaii,Honolulu,,2002,2
"(-72.38539214110222, 43.10105076534536)",2023-08-18,New Hampshire,Cheshire,,2004,9702
"(-71.39999999277616, 43.3144813986946)",2023-08-18,New Hampshire,Merrimack,,4007,360
"(-81.98240741745208, 28.13126035782518)",2023-08-18,Florida,Polk,,2003,121.13
"(-73.15622790292025, 41.28275323543998)",2023-08-18,Connecticut,Naugatuck Valley,,1026,1104
"(-71.01285545403566, 42.207678674998526)",2023-08-18,Massachusetts,Norfolk,,1007,4198
"(-70.92503352412731, 42.11595035482077)",2023-08-18,Massachusetts,Plymouth,,3012,5021.01
"(-71.23118184057485, 42.5392599950408)",2023-08-18,Massachusetts,Middlesex,,1008,3162.01
"(-70.60034962764325, 41.84381777862143)",2023-08-18,Massachusetts,Plymouth,,1016,5309.02
"(-71.44784491080236, 42.95581800858725)",2023-08-18,New Hampshire,Hillsborough,,6001,24
"(-70.94153082697756, 43.04123015534916)",2023-08-18,New Hampshire,Rockingham,,1011,675.05
"(-71.43792481490787, 42.79184467428292)",2023-08-18,New Hampshire,Hillsborough,,3003,121.01
"(-71.16935377021329, 42.82804466859281)",2023-08-18,New Hampshire,Rockingham,,3015,1031
"(-71.23706766481614, 43.04779518938276)",2023-08-18,New Hampshire,Rockingham,,1012,550.01
"(-71.35824059354363, 43.24580896322538)",2023-08-18,New Hampshire,Merrimack,,1017,340
"(-71.42104234869456, 42.3424654974126)",2023-08-18,Massachusetts,Middlesex,,1003,3839.04
"(-72.51122965848606, 42.09888970131084)",2023-08-18,Massachusetts,Hampden,,3014,8016.05
"(-71.07926538516489, 42.82570105832134)",2023-08-18,New Hampshire,Rockingham,,2011,1011.01
"(-71.18415269893218, 42.55982194643331)",2023-08-18,Massachusetts,Middlesex,,1008,3312
"(-72.69434824545341, 42.04663223158292)",2023-08-18,Massachusetts,Hampden,,3009,8132.05
"(-71.56467542660783, 42.94802506638218)",2023-08-18,New Hampshire,Hillsborough,,1007,29.03
"(-89.47161338041309, 43.54198675800679)",2023-08-18,Wisconsin,Columbia,,2014,9704.02
"(-71.6174588660484, 44.36730720369908)",2023-08-18,New Hampshire,Coos,,1016,9511
"(-70.1561901540577, 44.03848762443415)",2023-08-18,Maine,Androscoggin,,3021,206
"(-119.69301852861216, 36.71329987175924)",2023-08-18,California,Fresno,,3009,14.17
"(-70.90338024373173, 42.08504369748695)",2023-08-18,Massachusetts,Plymouth,,3011,5221.02
"(-71.35483905766493, 42.7133200789245)",2023-08-18,New Hampshire,Hillsborough,,1008,2001.01
"(-71.3750079332838, 42.222311772764925)",2023-08-18,Massachusetts,Middlesex,,2006,3861
"(-73.10581061643435, 41.58244739560496)",2023-08-18,Connecticut,Naugatuck Valley,,2008,3602
"(-118.39690625998227, 33.854227175458014)",2023-08-18,California,Los Angeles,,3013,6211.04
"(-71.21756325275503, 42.57498694658603)",2023-08-18,Massachusetts,Middlesex,,1003,3161.01
"(-71.42220774973734, 42.992000554252925)",2023-08-18,New Hampshire,Hillsborough,,1025,11
"(-71.1966340117556, 42.7686994988264)",2023-08-18,New Hampshire,Rockingham,,1030,1004.02
"(-71.09258672244736, 42.42466550783189)",2023-08-18,Massachusetts,Middlesex,,3009,3401
"(-71.12992565506536, 42.83289655589073)",2023-08-18,New Hampshire,Rockingham,,2012,1031
"(-71.12841488036393, 42.69136839051424)",2023-08-18,Massachusetts,Essex,,3030,2531
"(-71.13526392247779, 43.03707608760057)",2023-08-18,New Hampshire,Rockingham,,3019,590
"(-71.08858188001996, 42.963310087569376)",2023-08-18,New Hampshire,Rockingham,,2040,540
"(-73.48960465588016, 41.46395254636787)",2023-08-18,Connecticut,Western Connecticut,,3003,2202
"(-71.50325623002419, 42.73745261799093)",2023-08-18,New Hampshire,Hillsborough,,3000,114.01
"(-72.37313583194528, 41.46755164597393)",2023-08-18,Connecticut,Lower Connecticut River Valley,,2024,5951.01
"(-71.16234455483378, 42.72114965639605)",2023-08-18,Massachusetts,Essex,,2000,2506
"(-71.14799172887248, 42.69202280446499)",2023-08-18,Massachusetts,Essex,,2009,2517
"(-71.47435942494249, 42.72760803558244)",2023-08-18,New Hampshire,Hillsborough,,6002,112
"(-78.77768173535739, 42.97732489439118)",2023-08-18,New York,Erie,,1004,94.02
"(-70.95199402885314, 42.17954091098764)",2023-08-18,Massachusetts,Norfolk,,4001,4222.02
"(-70.95338160004465, 42.16585153493588)",2023-08-18,Massachusetts,Norfolk,,3006,4222.02
"(-72.50436174418428, 41.8717093685717)",2023-08-18,Connecticut,Capitol,,4001,5351.01
"(-70.45483591987204, 43.58239163869186)",2023-08-18,Maine,York,,1025,51
"(-70.90904600392976, 42.12052633037347)",2023-08-18,Massachusetts,Plymouth,,1007,5021.02
"(-71.46050994186893, 43.009171443549086)",2023-08-18,New Hampshire,Hillsborough,,2038,1.04
"(-70.79635894167171, 42.96635697843615)",2023-08-18,New Hampshire,Rockingham,,1013,660
"(-71.44243301294756, 42.98034544648077)",2023-08-18,New Hampshire,Hillsborough,,5002,18
"(-71.08462099830034, 43.00555018559552)",2023-08-18,New Hampshire,Rockingham,,1010,540
"(-71.25476072731698, 42.57376488746132)",2023-08-18,Massachusetts,Middlesex,,2011,3161.01
"(-71.43830906205395, 42.81410855552946)",2023-08-18,New Hampshire,Hillsborough,,2008,131.01
"(-78.74206902968388, 35.70051621122094)",2023-08-18,North Carolina,Wake,,3000,530.06
"(-71.88260863858339, 42.165822860709824)",2023-08-18,Massachusetts,Worcester,,4038,7531
"(-71.41474459544622, 42.773653545288056)",2023-08-18,New Hampshire,Hillsborough,,1001,122.02
"(-71.69563594239904, 42.61812261380697)",2023-08-18,Massachusetts,Worcester,,1000,7121.01
"(-71.2430663051615, 42.59341260705572)",2023-08-18,Massachusetts,Middlesex,,3009,3152
"(-71.9509617786587, 42.87556690581408)",2023-08-18,New Hampshire,Hillsborough,,1003,230.01
"(-71.4908109622361, 42.77496986858754)",2023-08-18,New Hampshire,Hillsborough,,5008,104
"(-71.21674957819087, 42.80302338313207)",2023-08-18,New Hampshire,Rockingham,,2004,1002
"(-71.71773395614753, 42.32506410499178)",2023-08-18,Massachusetts,Worcester,,1005,7395
"(-72.66015906548023, 42.81091674441393)",2023-08-18,Vermont,Windham,,1008,9687
"(-70.78148135838114, 43.23007646489093)",2023-08-18,Maine,York,,2003,350.01
"(-71.43673752279048, 41.87479479130419)",2023-08-18,Rhode Island,Providence,,4007,118
"(-72.30530912187835, 41.9763719253546)",2023-08-18,Connecticut,Capitol,,4000,8901
"(-71.69429572230223, 42.174985865601776)",2023-08-18,Massachusetts,Worcester,,2007,7381
"(-72.93244180894219, 41.39902888045933)",2023-08-18,Connecticut,South Central Connecticut,,5000,1659
"(-71.95652288341991, 44.122881956215785)",2023-08-18,New Hampshire,Grafton,,2010,9606
"(-71.01384997444616, 42.946007071767966)",2023-08-18,New Hampshire,Rockingham,,1009,620
"(-73.55327470672329, 41.04636579570487)",2023-08-18,Connecticut,Western Connecticut,,1009,215.02
"(-73.00884297534726, 44.65932116514235)",2023-08-18,Vermont,Franklin,,2057,110
"(-70.18491629294563, 44.09065081532104)",2023-08-18,Maine,Androscoggin,,1004,207
"(-71.53488574338859, 42.97746131163062)",2023-08-18,New Hampshire,Hillsborough,,4003,29.02
"(-73.46911131467813, 41.28455647113108)",2023-08-18,Connecticut,Western Connecticut,,1051,2453
"(-72.99811433417354, 41.66954274846045)",2023-08-18,Connecticut,Naugatuck Valley,,1003,4255
"(-72.40081550174692, 41.576465822540726)",2023-08-18,Connecticut,Southeastern Connecticut,,1016,7141.03
"(-71.4239753604079, 43.19804962086712)",2023-08-18,New Hampshire,Merrimack,,2000,32.02
"(-71.53054528064108, 42.98822303737568)",2023-08-18,New Hampshire,Hillsborough,,1018,28.01
"(-70.63412935034044, 41.94518974036471)",2023-08-18,Massachusetts,Plymouth,,5003,5305
"(-71.42143039907948, 41.85389361630918)",2023-08-18,Rhode Island,Providence,,5019,29
"(-72.69143691100491, 41.736317171846125)",2023-08-18,Connecticut,Capitol,,2008,5026
"(-71.31451229538665, 43.005753305804525)",2023-08-18,New Hampshire,Rockingham,,2025,40
"(-71.38632417380957, 42.59422088441198)",2023-08-18,Massachusetts,Middlesex,,2000,3172.01
"(-71.03655063743308, 41.92694407868321)",2023-08-18,Massachusetts,Bristol,,1026,6122.01
"(-70.75693650339332, 42.630575806834734)",2023-08-18,Massachusetts,Essex,,1028,2221
"(-71.50152685248165, 42.851233914559664)",2023-08-18,New Hampshire,Hillsborough,,3003,143.02
"(-71.88917257292589, 43.933781399843255)",2023-08-18,New Hampshire,Grafton,,3029,9605
"(-71.400850183743, 42.676863820190725)",2023-08-18,Massachusetts,Middlesex,,4017,3131.02
"(-72.6551827692272, 41.56303496822399)",2023-08-18,Connecticut,Lower Connecticut River Valley,,1007,5416
"(-70.88259516328134, 42.56122720639079)",2023-08-18,Massachusetts,Essex,,4009,2173
"(-71.02265091896605, 42.09590658965039)",2023-08-18,Massachusetts,Plymouth,,4003,5104
"(-73.94017272740989, 40.716764122205824)",2023-08-18,New York,Kings,,1004,449.01
"(-117.72244796445727, 34.06600447494374)",2023-08-18,California,Los Angeles,,1002,4027.02
"(-71.63346238915446, 41.69848045628353)",2023-08-18,Rhode Island,Kent,,1020,207.02
"(-72.67974852691624, 41.69831454282821)",2023-08-18,Connecticut,Capitol,,1018,4925
"(-71.14415093449591, 43.23006926236736)",2023-08-18,New Hampshire,Strafford,,2038,860
"(-70.32742087753877, 41.63971343339112)",2023-08-18,Massachusetts,Barnstable,,4038,127
"(-84.43801974718305, 42.74847455442982)",2023-08-18,Michigan,Ingham,,1028,46
"(-70.8914618310782, 43.20625706619399)",2023-08-18,New Hampshire,Strafford,,1018,815
"(-71.31373715574502, 42.86630172282969)",2023-08-18,New Hampshire,Rockingham,,2004,36.01
"(-71.48235509129763, 42.87617845540972)",2023-08-18,New Hampshire,Hillsborough,,2017,141.01
"(-71.0523214033383, 42.04350273478486)",2023-08-18,Massachusetts,Plymouth,,2003,5241.01
"(-71.01152763438282, 43.2766540584612)",2023-08-18,New Hampshire,Strafford,,2010,845
"(-71.12346681429241, 42.82556783535464)",2023-08-18,New Hampshire,Rockingham,,2020,1031
"(-71.36405231692547, 42.08322356691408)",2023-08-18,Massachusetts,Norfolk,,2009,4422.03
"(-71.70322106888284, 42.85166878280026)",2023-08-18,New Hampshire,Hillsborough,,2020,161
"(-71.40920699661936, 42.10690391703858)",2023-08-18,Massachusetts,Norfolk,,1013,4421.03
"(-71.57260928103955, 42.99835106700744)",2023-08-18,New Hampshire,Hillsborough,,1010,27.01
"(-71.28792568559152, 42.6592292874796)",2023-08-18,Massachusetts,Middlesex,,4008,3143.01
"(-71.14630240652892, 41.82227508640229)",2023-08-18,Massachusetts,Bristol,,5002,6151
"(-71.55102358175253, 42.93489145039534)",2023-08-18,New Hampshire,Hillsborough,,5005,29.03
"(-71.33069210138092, 42.91952151699186)",2023-08-18,New Hampshire,Rockingham,,3006,33.02
"(-71.42167808188351, 42.15626276372797)",2023-08-18,Massachusetts,Norfolk,,2014,4081.04
"(-71.4322654761872, 42.988741167274014)",2023-08-18,New Hampshire,Hillsborough,,1021,11
"(-71.0958752495274, 42.78682083838498)",2023-08-18,Massachusetts,Essex,,2031,2607
"(-71.1670921994097, 41.88865785926661)",2023-08-18,Massachusetts,Bristol,,1004,6134
"(-75.13432785919036, 39.98879775126863)",2023-08-18,Pennsylvania,Philadelphia,,1015,163
"(-71.17211670864378, 42.70300441963484)",2023-08-18,Massachusetts,Essex,,1009,2513
"(-71.18021502038488, 44.38944484429705)",2023-08-18,New Hampshire,Coos,,2003,9509
"(-71.67552434021678, 42.83241590731529)",2023-08-18,New Hampshire,Hillsborough,,1005,162.04
"(-70.86246655217215, 42.51095424012174)",2023-08-18,Massachusetts,Essex,,4006,2033.01
"(-71.3551505917058, 41.92074425802993)",2023-08-18,Massachusetts,Bristol,,1004,6311.01
"(-71.33611968686692, 41.88738687378369)",2023-08-18,Massachusetts,Bristol,,2011,6321
"(-71.43296085569716, 43.45162240163975)",2023-08-18,New Hampshire,Belknap,,1018,9658.02
"(-71.30814685096357, 42.9010231420536)",2023-08-18,New Hampshire,Rockingham,,1003,34
"(-72.947909823517, 43.656977539712855)",2023-08-18,Vermont,Rutland,,1003,9627
"(-71.25425071254305, 43.670234941960686)",2023-08-18,New Hampshire,Carroll,,1041,9564
"(-71.45729112447353, 42.74655344698261)",2023-08-18,New Hampshire,Hillsborough,,3005,110
"(-70.95607293554706, 42.01069093916)",2023-08-18,Massachusetts,Plymouth,,2004,5231
"(-71.14257372866781, 42.96904183666027)",2023-08-18,New Hampshire,Rockingham,,2015,540
"(-71.18814611896914, 42.581617915352105)",2023-08-18,Massachusetts,Middlesex,,2001,3154.03
"(-73.98158918180032, 40.681655671131296)",2023-08-18,New York,Kings,,2000,127
"(-72.67758562635296, 42.3249722680551)",2023-08-18,Massachusetts,Hampshire,,2000,8222
"(-71.46159092845072, 42.99668384789721)",2023-08-18,New Hampshire,Hillsborough,,1022,2004
"(-73.26749009804622, 41.13600611761291)",2023-08-18,Connecticut,Greater Bridgeport,,1011,616
"(-74.09665499720715, 40.689399545027705)",2023-08-18,New Jersey,Hudson,,2003,63
"(-71.59553564285855, 43.011770577548255)",2023-08-18,New Hampshire,Hillsborough,,1004,27.01
"(-71.55359773307995, 42.40071886826586)",2023-08-18,Massachusetts,Middlesex,,1007,3224
"(-85.97780532943067, 37.81771438728956)",2023-08-18,Kentucky,Hardin,,1006,8
"(-74.21970544522364, 40.6892373872029)",2023-08-18,New Jersey,Union,,3007,325
"(-71.16348433764463, 42.69226404823777)",2023-08-18,Massachusetts,Essex,,3007,2515
"(-71.16387348858052, 42.69617123388293)",2023-08-18,Massachusetts,Essex,,2001,2515
"(-71.2284151402412, 42.07300196039178)",2023-08-18,Massachusetts,Norfolk,,4016,4104
"(-71.17478181561745, 42.56120285763796)",2023-08-18,Massachusetts,Middlesex,,1025,3312
"(-71.14986831810194, 42.867550960133926)",2023-08-18,New Hampshire,Rockingham,,1011,1041.01
"(-71.52589124269923, 42.74504570552856)",2023-08-18,New Hampshire,Hillsborough,,2029,103.01
"(-73.87449787587192, 42.69543101054732)",2023-08-18,New York,Albany,,2013,146.08
"(-71.50633400952503, 42.76951047682565)",2023-08-18,New Hampshire,Hillsborough,,1002,103.02
"(-71.21899515252372, 42.74803773154694)",2023-08-18,New Hampshire,Rockingham,,2017,1003.02
"(-71.66136989890919, 42.337753938305625)",2023-08-18,Massachusetts,Worcester,,1014,7401.02
"(-71.41100318827216, 42.92168234857878)",2023-08-18,New Hampshire,Rockingham,,2004,37.03
"(-71.3816024243569, 42.14794569933313)",2023-08-18,Massachusetts,Norfolk,,2003,4071.02
"(-70.89403285106091, 43.22215195416637)",2023-08-18,New Hampshire,Strafford,,1012,816
"(-71.05932574851091, 42.287046216556455)",2023-08-18,Massachusetts,Suffolk,,1003,1008
"(-71.53411851540457, 42.15880738052867)",2023-08-18,Massachusetts,Worcester,,1007,7441.04
"(-71.01502502219522, 42.42419649294751)",2023-08-18,Massachusetts,Suffolk,,2012,1703.01
"(-71.4992228057887, 43.00772827246116)",2023-08-18,New Hampshire,Hillsborough,,1017,2.02
"(-71.20090202196558, 42.45458349660872)",2023-08-18,Massachusetts,Middlesex,,1021,3585
"(-71.15993183807345, 42.7256535525932)",2023-08-18,Massachusetts,Essex,,2009,2525.01
"(-71.19749688697955, 43.23053327611086)",2023-08-18,New Hampshire,Rockingham,,2024,570
"(-71.3042769541801, 41.50728665097088)",2023-08-18,Rhode Island,Newport,,2006,405
"(-71.54223816937103, 44.595536765752406)",2023-08-18,New Hampshire,Coos,,3002,9504
"(-70.9260015672364, 41.91300270498392)",2023-08-18,Massachusetts,Plymouth,,1037,5422
"(-73.04752939262262, 44.16361292484154)",2023-08-18,Vermont,Addison,,1003,9605
"(-71.89225810987857, 42.04142595839183)",2023-08-18,Massachusetts,Worcester,,2024,7551
"(-70.93219880165104, 42.46829496952917)",2023-08-18,Massachusetts,Essex,,4008,2066
"(-74.78293526145633, 41.27410798503337)",2023-08-18,New Jersey,Sussex,,2023,3710
"(-74.91469358831507, 39.83010947503268)",2023-08-18,New Jersey,Camden,,2002,6075.04
"(-71.46615698789643, 42.79052664474781)",2023-08-18,New Hampshire,Hillsborough,,4004,101
"(-71.24024762256578, 42.72085336856317)",2023-08-18,Massachusetts,Essex,,2002,2521.02
"(-71.18414156046039, 42.49201108516792)",2023-08-18,Massachusetts,Middlesex,,1015,3322.01
"(-73.059159462861, 44.12776149124264)",2023-08-18,Vermont,Addison,,1031,9605
"(-71.62988718625648, 43.7285686475054)",2023-08-18,New Hampshire,Grafton,,3003,9611.01
"(-70.85178427589933, 42.86755841799421)",2023-08-18,New Hampshire,Rockingham,,3010,630.03
"(-71.4967668581777, 42.7735886852268)",2023-08-18,New Hampshire,Hillsborough,,1000,103.02
"(-71.45330001360374, 42.933591857982506)",2023-08-18,New Hampshire,Hillsborough,,3036,26
"(-71.10566411980275, 43.29661516467621)",2023-08-18,New Hampshire,Strafford,,1019,860
"(-96.63599442327124, 32.795171930127786)",2023-08-18,Texas,Dallas,,2024,178.16
"(-71.69451367693341, 42.7122342880667)",2023-08-18,New Hampshire,Hillsborough,,1031,180.01
"(-71.48384447141348, 42.7782147174805)",2023-08-18,New Hampshire,Hillsborough,,3004,101
"(-71.08458533044542, 42.22939220925742)",2023-08-18,Massachusetts,Norfolk,,1010,4161.02
"(-118.07646927018216, 33.89042415058418)",2023-08-18,California,Los Angeles,,1006,5526.01
"(-70.89562199457077, 42.16835196990897)",2023-08-18,Massachusetts,Plymouth,,1001,5022
"(-71.4227128214076, 42.22604075333585)",2023-08-18,Massachusetts,Middlesex,,5001,3872.01
"(-71.09136450606017, 42.31128101026298)",2023-08-18,Massachusetts,Suffolk,,4010,819
"(-71.24653832595014, 42.74938563106424)",2023-08-18,New Hampshire,Rockingham,,2015,1003.02
"(-71.45576836116864, 41.638546702762106)",2023-08-18,Rhode Island,Kent,,2013,224
"(-71.9466521420238, 42.99088795020016)",2023-08-18,New Hampshire,Hillsborough,,1039,240
"(-72.57801242433295, 41.78154627078614)",2023-08-18,Connecticut,Capitol,,3003,5151.02
"(-71.59754348057372, 42.81671473388168)",2023-08-18,New Hampshire,Hillsborough,,4017,152
"(-72.97832170944244, 41.507955274984766)",2023-08-18,Connecticut,Naugatuck Valley,,2005,3471
"(-71.67713004652981, 43.59429226644608)",2023-08-18,New Hampshire,Belknap,,3073,9651
"(-71.62936181114534, 42.887524462704434)",2023-08-18,New Hampshire,Hillsborough,,2001,151
"(-71.44482205176895, 41.80823960991041)",2023-08-18,Rhode Island,Providence,,2006,16.02
"(-71.1694750712532, 43.05437403562055)",2023-08-18,New Hampshire,Rockingham,,3011,550.02
"(-71.45569346472841, 42.291991900305376)",2023-08-18,Massachusetts,Middlesex,,4003,3840.03
